date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-31,8141.T,13.26,,bmo,26596000000.0,,2017-10-31,2023-10-17
2018-01-31,VIBE.CN,-0.02287,,bmo,,,2018-01-31,2023-10-16
2018-01-31,8772.T,20.4,,bmo,1496638000.0,,2017-10-31,2023-10-17
2018-01-31,AH.TO,-0.011590000000000001,,bmo,1252905.0,,2018-01-31,2023-10-16
2018-01-31,TSCO,0.91,0.87,amc,1952838000.0,1866962637.3626373,2017-12-29,2023-09-29
2018-01-31,WRTBY,0.07,,bmo,1445000000.0,,2017-12-31,2023-09-29
2018-01-31,CNMD,0.6900000000000001,0.65,amc,222555000.0,209695652.17391306,2017-12-30,2023-09-29
2018-01-31,9997.T,40.98,,bmo,37203000000.0,,2017-10-31,2023-10-17
2018-01-31,MKTX,0.89,0.9,bmo,99565000.0,72085714.2857143,2017-12-30,2023-09-29
2018-01-31,4709.T,27.52,,bmo,6536893000.0,,2017-10-31,2023-10-17
2018-01-31,8132.T,56.46,,bmo,48430000000.0,,2017-10-31,2023-10-17
2018-01-31,NOKBF,0.13,0.12,bmo,,,2017-12-31,2023-05-17
2018-01-31,ALLI.NE,-0.020110000000000003,,bmo,,,2018-01-31,2023-10-16
2018-01-31,HTHIY,1.8,1.45,bmo,2325935000000.0,34800000.0,2017-10-31,2023-10-17
2018-01-31,3688.T,29.13,,bmo,6799128000.0,,2017-12-31,2023-10-16
2018-01-31,ANK.V,-0.00512,,bmo,,,2018-01-31,2023-10-16
2018-01-31,CMPR,0.93,0.87,amc,762054000.0,712932258.0645161,2017-12-30,2023-09-29
2018-01-31,UNIRF,,,bmo,,,2017-12-31,2023-05-17
2018-01-31,9201.T,102.29,78.1,bmo,408078000000.0,,2017-10-31,2023-10-17
2018-01-31,APTR.ST,-20.3494,,bmo,57529.0,,2018-01-31,2023-10-16
2018-01-31,7646.T,275.19,,bmo,21662000000.0,,2017-12-30,2023-05-17
2018-01-31,KRC,0.34,0.23,amc,177561000.0,145885714.28571427,2017-12-30,2023-09-29
2018-01-31,6138.T,60.51,,bmo,2608733000.0,,2017-10-31,2023-10-17
2018-01-31,7940.T,28.98,,bmo,6786373000.0,,2017-10-31,2023-10-17
2018-01-31,3092.T,21.61,22.4,bmo,27208000000.0,,2017-10-31,2023-10-17
2018-01-31,SONE.ST,-0.32567,,bmo,7189611.0,,2017-10-31,2023-10-17
2018-01-31,601878.SS,0.07066,,bmo,1328404569.85,,2017-12-30,2023-05-17
2018-01-31,AMANF,34.01,,bmo,,,2018-06-30,2023-05-17
